tau_a_false,tau_d_low,frac_suppressed,unsafe_suppress_rate_on_deteriorations,deterioration_capture
0.2,0.2,0.0,0.0,1.0
0.2,0.2363636363636364,0.0,0.0,1.0
0.2,0.2727272727272727,0.0,0.0,1.0
0.2,0.3090909090909091,0.0,0.0,1.0
0.2,0.34545454545454546,0.0,0.0,1.0
0.2,0.38181818181818183,0.0,0.0,1.0
0.2,0.4181818181818182,0.0,0.0,1.0
0.2,0.45454545454545453,0.0,0.0,1.0
0.2,0.4909090909090909,0.0,0.0,1.0
0.2,0.5272727272727273,0.0,0.0,1.0
0.2,0.5636363636363637,0.0,0.0,1.0
0.2,0.6,0.0,0.0,1.0
0.2363636363636364,0.2,0.0,0.0,1.0
0.2363636363636364,0.2363636363636364,0.0,0.0,1.0
0.2363636363636364,0.2727272727272727,0.0,0.0,1.0
0.2363636363636364,0.3090909090909091,0.0,0.0,1.0
0.2363636363636364,0.34545454545454546,0.0,0.0,1.0
0.2363636363636364,0.38181818181818183,0.0,0.0,1.0
0.2363636363636364,0.4181818181818182,0.0,0.0,1.0
0.2363636363636364,0.45454545454545453,0.0,0.0,1.0
0.2363636363636364,0.4909090909090909,0.0,0.0,1.0
0.2363636363636364,0.5272727272727273,0.0,0.0,1.0
0.2363636363636364,0.5636363636363637,0.0,0.0,1.0
0.2363636363636364,0.6,0.0,0.0,1.0
0.2727272727272727,0.2,0.0,0.0,1.0
0.2727272727272727,0.2363636363636364,0.0,0.0,1.0
0.2727272727272727,0.2727272727272727,0.0,0.0,1.0
0.2727272727272727,0.3090909090909091,0.0,0.0,1.0
0.2727272727272727,0.34545454545454546,0.0,0.0,1.0
0.2727272727272727,0.38181818181818183,0.0,0.0,1.0
0.2727272727272727,0.4181818181818182,0.0,0.0,1.0
0.2727272727272727,0.45454545454545453,0.0,0.0,1.0
0.2727272727272727,0.4909090909090909,0.0,0.0,1.0
0.2727272727272727,0.5272727272727273,0.0,0.0,1.0
0.2727272727272727,0.5636363636363637,0.0,0.0,1.0
0.2727272727272727,0.6,0.0,0.0,1.0
0.3090909090909091,0.2,0.0,0.0,1.0
0.3090909090909091,0.2363636363636364,0.0,0.0,1.0
0.3090909090909091,0.2727272727272727,0.0,0.0,1.0
0.3090909090909091,0.3090909090909091,0.0,0.0,1.0
0.3090909090909091,0.34545454545454546,0.0,0.0,1.0
0.3090909090909091,0.38181818181818183,0.0,0.0,1.0
0.3090909090909091,0.4181818181818182,0.0,0.0,1.0
0.3090909090909091,0.45454545454545453,0.0,0.0,1.0
0.3090909090909091,0.4909090909090909,0.0,0.0,1.0
0.3090909090909091,0.5272727272727273,0.0,0.0,1.0
0.3090909090909091,0.5636363636363637,0.0,0.0,1.0
0.3090909090909091,0.6,0.0,0.0,1.0
0.34545454545454546,0.2,0.0,0.0,1.0
0.34545454545454546,0.2363636363636364,0.0,0.0,1.0
0.34545454545454546,0.2727272727272727,0.0,0.0,1.0
0.34545454545454546,0.3090909090909091,0.0,0.0,1.0
0.34545454545454546,0.34545454545454546,0.0,0.0,1.0
0.34545454545454546,0.38181818181818183,0.0,0.0,1.0
0.34545454545454546,0.4181818181818182,0.0,0.0,1.0
0.34545454545454546,0.45454545454545453,0.0,0.0,1.0
0.34545454545454546,0.4909090909090909,0.0,0.0,1.0
0.34545454545454546,0.5272727272727273,0.0,0.0,1.0
0.34545454545454546,0.5636363636363637,0.0,0.0,1.0
0.34545454545454546,0.6,0.0,0.0,1.0
0.38181818181818183,0.2,0.0,0.0,1.0
0.38181818181818183,0.2363636363636364,0.0,0.0,1.0
0.38181818181818183,0.2727272727272727,0.0,0.0,1.0
0.38181818181818183,0.3090909090909091,0.0,0.0,1.0
0.38181818181818183,0.34545454545454546,0.0,0.0,1.0
0.38181818181818183,0.38181818181818183,0.0,0.0,1.0
0.38181818181818183,0.4181818181818182,0.0,0.0,1.0
0.38181818181818183,0.45454545454545453,0.0,0.0,1.0
0.38181818181818183,0.4909090909090909,0.0,0.0,1.0
0.38181818181818183,0.5272727272727273,0.0,0.0,1.0
0.38181818181818183,0.5636363636363637,0.0,0.0,1.0
0.38181818181818183,0.6,0.0,0.0,1.0
0.4181818181818182,0.2,0.0,0.0,1.0
0.4181818181818182,0.2363636363636364,0.0,0.0,1.0
0.4181818181818182,0.2727272727272727,0.0,0.0,1.0
0.4181818181818182,0.3090909090909091,0.0,0.0,1.0
0.4181818181818182,0.34545454545454546,0.0,0.0,1.0
0.4181818181818182,0.38181818181818183,0.0,0.0,1.0
0.4181818181818182,0.4181818181818182,0.0,0.0,1.0
0.4181818181818182,0.45454545454545453,0.0,0.0,1.0
0.4181818181818182,0.4909090909090909,0.0,0.0,1.0
0.4181818181818182,0.5272727272727273,0.0,0.0,1.0
0.4181818181818182,0.5636363636363637,0.0,0.0,1.0
0.4181818181818182,0.6,0.0,0.0,1.0
0.45454545454545453,0.2,0.0,0.0,1.0
0.45454545454545453,0.2363636363636364,0.0,0.0,1.0
0.45454545454545453,0.2727272727272727,0.0,0.0,1.0
0.45454545454545453,0.3090909090909091,0.0,0.0,1.0
0.45454545454545453,0.34545454545454546,0.0,0.0,1.0
0.45454545454545453,0.38181818181818183,0.0,0.0,1.0
0.45454545454545453,0.4181818181818182,0.0,0.0,1.0
0.45454545454545453,0.45454545454545453,0.0,0.0,1.0
0.45454545454545453,0.4909090909090909,0.0,0.0,1.0
0.45454545454545453,0.5272727272727273,0.0,0.0,1.0
0.45454545454545453,0.5636363636363637,0.0,0.0,1.0
0.45454545454545453,0.6,0.0,0.0,1.0
0.4909090909090909,0.2,0.0,0.0,1.0
0.4909090909090909,0.2363636363636364,0.0,0.0,1.0
0.4909090909090909,0.2727272727272727,0.0,0.0,1.0
0.4909090909090909,0.3090909090909091,0.0,0.0,1.0
0.4909090909090909,0.34545454545454546,0.0,0.0,1.0
0.4909090909090909,0.38181818181818183,0.0,0.0,1.0
0.4909090909090909,0.4181818181818182,0.0,0.0,1.0
0.4909090909090909,0.45454545454545453,0.0,0.0,1.0
0.4909090909090909,0.4909090909090909,0.0,0.0,1.0
0.4909090909090909,0.5272727272727273,0.0,0.0,1.0
0.4909090909090909,0.5636363636363637,0.0,0.0,1.0
0.4909090909090909,0.6,0.0,0.0,1.0
0.5272727272727273,0.2,0.0,0.0,1.0
0.5272727272727273,0.2363636363636364,0.0,0.0,1.0
0.5272727272727273,0.2727272727272727,0.0,0.0,1.0
0.5272727272727273,0.3090909090909091,0.0,0.0,1.0
0.5272727272727273,0.34545454545454546,0.0,0.0,1.0
0.5272727272727273,0.38181818181818183,0.0,0.0,1.0
0.5272727272727273,0.4181818181818182,0.0,0.0,1.0
0.5272727272727273,0.45454545454545453,0.0,0.0,1.0
0.5272727272727273,0.4909090909090909,0.0,0.0,1.0
0.5272727272727273,0.5272727272727273,0.0,0.0,1.0
0.5272727272727273,0.5636363636363637,0.0,0.0,1.0
0.5272727272727273,0.6,0.0,0.0,1.0
0.5636363636363637,0.2,0.0,0.0,1.0
0.5636363636363637,0.2363636363636364,0.0,0.0,1.0
0.5636363636363637,0.2727272727272727,0.0,0.0,1.0
0.5636363636363637,0.3090909090909091,0.0,0.0,1.0
0.5636363636363637,0.34545454545454546,0.0,0.0,1.0
0.5636363636363637,0.38181818181818183,0.0,0.0,1.0
0.5636363636363637,0.4181818181818182,0.0,0.0,1.0
0.5636363636363637,0.45454545454545453,0.0,0.0,1.0
0.5636363636363637,0.4909090909090909,0.0,0.0,1.0
0.5636363636363637,0.5272727272727273,0.0,0.0,1.0
0.5636363636363637,0.5636363636363637,0.0,0.0,1.0
0.5636363636363637,0.6,0.0,0.0,1.0
0.6,0.2,0.0,0.0,1.0
0.6,0.2363636363636364,0.0,0.0,1.0
0.6,0.2727272727272727,0.0,0.0,1.0
0.6,0.3090909090909091,0.0,0.0,1.0
0.6,0.34545454545454546,0.0,0.0,1.0
0.6,0.38181818181818183,0.0,0.0,1.0
0.6,0.4181818181818182,0.0,0.0,1.0
0.6,0.45454545454545453,0.0,0.0,1.0
0.6,0.4909090909090909,0.0,0.0,1.0
0.6,0.5272727272727273,0.0,0.0,1.0
0.6,0.5636363636363637,0.0,0.0,1.0
0.6,0.6,0.0,0.0,1.0
